Skin,h,N,W,L,a/L,ElemIdx,X,Y,t,P,dP,Q
0.05,10,10.0,1350.0,240.0,0.625,1,0.0,0.0,0.0,299.2132099812316,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,2,0.0092256294713917,0.0013381936756325,0.1,296.00366411445526,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,3,0.0096780280800285,0.0025512798496259,0.2,298.44051897587997,2.436854861424706,100.0
0.05,10,10.0,1350.0,240.0,0.625,4,0.0100247460730556,0.0036945611157757,0.3,298.5676398677062,0.12712089182622321,100.0
0.05,10,10.0,1350.0,240.0,0.625,5,0.010312950622114,0.0047884177728429,0.4,297.25124221268635,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,6,0.010563513352842,0.0058435477856541,0.5,297.6388017144485,0.3875595017621549,100.0
0.05,10,10.0,1350.0,240.0,0.625,7,0.0107872213933656,0.0068668354317481,0.6,297.5158383624857,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,8,0.0109903898406465,0.0078632108905552,0.7,297.0032559845772,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,9,0.0111783438872434,0.0088354261682246,0.8,297.47236151218436,0.4691055276071552,100.0
0.05,10,10.0,1350.0,240.0,0.625,10,0.0113535354373985,0.0097864767960392,0.9,299.04219614710246,1.5698346349180952,100.0
0.05,10,10.0,1350.0,240.0,0.625,11,0.0115340162872258,0.0108077760051318,1.0097222222222222,297.53784993244045,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,12,0.0117237758956965,0.0119315997819256,1.1330555555555557,297.1997798096392,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,13,0.0119227341773104,0.0131648989977111,1.271388888888889,298.8852984741883,1.685518664549079,100.0
0.05,10,10.0,1350.0,240.0,0.625,14,0.0121318039468744,0.0145153510937963,1.426388888888889,297.37559586819776,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,15,0.0123511555027814,0.0159984587076614,1.6005555555555555,297.7361558395267,0.36055997132893935,100.0
0.05,10,10.0,1350.0,240.0,0.625,16,0.0125819185651495,0.0176211455973133,1.7958333333333334,298.6634034322257,0.9272475926990182,100.0
0.05,10,10.0,1350.0,240.0,0.625,17,0.0128241834333814,0.0193954757305251,2.0147222222222223,296.1579699919201,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,18,0.0130783286204606,0.0213418116670336,2.2608333333333333,297.661919407566,1.503949415645934,100.0
0.05,10,10.0,1350.0,240.0,0.625,19,0.0133443133355447,0.0234683281488647,2.536666666666666,297.24279411851904,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,20,0.0136232549984564,0.0257920549936336,2.846111111111111,294.5876584245195,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,21,0.013915569368287,0.0283307619468323,3.1933333333333334,294.83918790805575,0.2515294835362738,100.0
0.05,10,10.0,1350.0,240.0,0.625,22,0.0142216257331627,0.0311042173393303,3.583055555555556,295.26247786870283,0.42328996064708235,100.0
0.05,10,10.0,1350.0,240.0,0.625,23,0.0145430272964712,0.0341284231770327,4.020277777777777,297.0647297288784,1.802251860175545,100.0
0.05,10,10.0,1350.0,240.0,0.625,24,0.0148802632183311,0.0374226384568529,4.510555555555555,296.94219698382216,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,25,0.0152345948774841,0.0410137937543321,5.061111111111111,296.65326619200266,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,26,0.0156087856661503,0.0449146471180983,5.678611111111112,297.07832657000523,0.4250603780025699,100.0
0.05,10,10.0,1350.0,240.0,0.625,27,0.0160035181825668,0.0491511436346128,6.371388888888889,296.2964975999162,1e-12,100.0
0.05,10,10.0,1350.0,240.0,0.625,28,0.0164219692730396,0.0537437904369009,7.148888888888889,296.1914663428572,1e-12,100.0
